text,label,dataset
"Acacia continues to work diligently to improve our revenue line and reduce our expense line, with the goal of consistent and sustained profitability.",pos,train
"We are actively pursuing additional sites for future developments in other markets, and we are targeting a minimum of two off campus development projects to commence in 2011.",pos,train
Our team has been focused on completing the remaining activities in our pimavanserin PDP development program that are needed for submission of an NDA.,pos,train
I'm focused on our geographic expansion efforts and our execution,pos,train
We're focusing on the markets that have the growth rates and can improve our franchise value,pos,train
We are focusing on the education market,pos,train
"Over the next five years, we plan to invest roughly $2",pos,train
We remain focused on driving further improvements as we move forward,pos,train
"We anticipate delivering that in Q1, 19 at an 8",pos,train
"So distribution, we’ll be taking those orders and we’re looking at shipping that product in March",pos,test
And obviously the idea is to ramp that up with all the initiatives the Clint just highlighted and those things we’ve been talking about for while now,pos,train
That’s what we’ve been trying to do for year and a half and we’re just starting on that path today,pos,train
"We expect to realize a $120 million of annual savings by streamlining our structure, eliminating redundancies and centralizing certain function",pos,train
The remaining $125 million of Tech Data shares will be sold after lockup period expires during the March quarter and will be used to repurchase shares through the remainder of fiscal 2018,pos,train
"Some of you may have seen, the recent press conference or have heard about it, but as stated by the county executive in recent public appearance, he would like to see all 2,600 pipes in the county undergo some level of improvement",pos,train
We could purchase something in the range of $500 million,pos,train
We'll put fuel on that fire as we go into next year,pos,train
They're going to spend £38 billion over the next five years,pos,train
We know that we have a big installment coming in 2019,pos,train
"So we've made good progress, and we'll continue to invest there",pos,train
"While we hope we are wrong about this, we are preparing for a long and deep global recession",pos,train
And we think the same thing is going to continue to happen,pos,test
We've told what they are and we intend to deliver it just as we done this time,pos,train
"And so, it is our hope that we enter into new partnerships",pos,train
"So yes, I think we see a nice pool of opportunities",pos,train
"So, we feel very comfortable that we think we will get a majority of that IDIQ",pos,test
We've got the money we need to invest in the business,pos,train
I would just say that we’ll continue to do what we’ve been doing,pos,train
"We will continue to update it for independent hotels and other brands as well as our owned, but we think the bulk of the investment that we needed to make has been made",pos,train
We have said many times that we would return all our excess free cash flow to the shareholders,pos,train
"Yeah, we are going to be adding some additions reps",pos,train
"We also bought back $500 million of our stock in Q3, and here in Q4 we plan to repurchase another $500 million, just as we told you we would",pos,train
We're focused on trying to drive health care to better growth numbers,pos,train
We are also equally focused on reducing operating expenses in our restaurants,pos,train
"In 2008, Bradesco is planning to grant 4 billion reais in mortgage",pos,train
And our goal is to deliver shareholder return at places in the top quartile of the S&P 500 over the long term,pos,train
"So we are focusing on growth, also, in Brazil, now?  But we are ready to increase our margins",pos,train
"And in fact, we are planning to roll over $500 million of taxable income from '08 into '09 to pay 2009 dividends",pos,train
"And so as we go to really push and take the strategy that we've done in North America, and move it over to Europe, to really creating greater profit pools for our customers by using our specialty network, that's one area of value that we're focused on",pos,train
Our goal is to enter 2017 with ARISTADA essentially on the same playing field with the other long-acting injectable antipsychotics,pos,train
"So, we would like to have cash on the balance sheet to go and approach companies",pos,train
"Yes, our goal is to stay inside that range, inside the goalpost absolutely, again not knowing exactly what's going to happen",pos,train
Formula One bosses have talked about expanding in China.,pos,train
"He is also interested in spending time on renewables, both solar and wind.",pos,train
"Nick provided his view on ecommerce, personally believes that penetration across verticals will double",pos,train
The emphasis and focus is on the private equity solutions,pos,train
Average loan-to-value 60%,neg,train
"By geography, I would like to highlight the strong contribution of North and South America, which as of June 2014 was close to 70%, indicating that growth will continue to come from these two strategic regions for us.",neg,test
"Furthermore, we have brought into operation during 2015, six new concessional assets of which I would like to highlight Solana, not only because it is the largest thermal solar plant in the world, but because thanks to the storage capacity that it has, it can deliver sun power energy at moonlight.",neg,train
"Mark will provide a strategic overview of Tekmira post-merger, and Bruce will review the company’s 2014 financials and future outlook",neg,test
"In a few minutes, I will summarize Tekmira’s financial performance for 2014, which reflects our business pre-merger",neg,test
Through the merger we have transformed Tekmira from a technology-based development company into a therapeutic solutions company,neg,train
"Would you go back to target of equity investment of around €300 million, does that make sense or your logic now is on the net corporate CapEx and therefore equity CapEx and therefore think about this €300 million is that you have given last year or two years ago has something very relevant?",neg,train
"This is the result of asset rotation executed in the period, ROFO 2 and the sale of 13% of our stake in ABY and a higher equity invested in concession as we had to comply with a committed project development schedule",neg,train
"For over a decade, the Tekmira team has focused its scientific expertise on overcoming the challenges of RNAi delivery, which resulted in Tekmira owning the gold standard in LNP delivery technology.",neg,train
"In March, we signed the final agreement with EIG to constitute APW-1 securing equity partners for our projects under construction",neg,train
"We made a lot of progress, whether that was in the product portfolio, whether that was the transition to market segments",neg,train
And the startup of financing of Solaben 1 and 6 CSP plant in the Spain entered into operation on time and on budget.,neg,train
"The company also reduced research and development expenses by approximately $126,000 in the second quarter of 2015 as compared to same quarter of the prior year, due primarily to the completion of oil and gas field validation work in 2014 that did not recur in 2015",neg,train
And we think that the network that we have is underdeveloped in terms of its capabilities,neg,train
"We have adequate liquidity, even with the high capital spending",neg,train
"Cash COGS in the region grew by 50.2% while on a per hectoliter basis by 33.9%, mainly driven by higher inflation and negative currency impact resulting in EBITDA margin compression of 60 basis points to 38.7%.",neg,train
So all of these are what we consider when we bid,neg,test
We are not committed to spending $500 million at any price,neg,train
Is it fair to assume that top line growth is more important than margins in the short term?,neg,test
"We recognize that we are in a hole, and have recognized it for some time",neg,train
"We took a look at the number of users that we could address given that we are looking at even though it's a B2B, it's also a B2C type opportunity for us, right",neg,train
We think our other businesses that make up to 45%,neg,train
I remember we suspended the buyback as we were pursuing a closing system,neg,test
We’ve added a lot more depth in our solutions space,neg,test
All of that just gives us a little stronger base to build off of,neg,train
We have -- we've really positioned the company now well to continue to grow,neg,test
We invested more than $700 million in our core business,neg,train
That’s where we generate value for the company and the shareholders,neg,train
"I mean there is two things, one we see what we see on economic environment",neg,train
"As we look back in 2015, we met most of our goals",neg,test
We know the potential is there and we know we’re on the right track,neg,train
Beer EBITDA grew by 25.7% within a margin expansion of 540 basis points,neg,test
But we're not going to take on debt to do that,neg,train
We participated in some of those webinars that are out there and so forth,neg,train
EBITDA reached BRL 474 million increasing organically by 31.6% with a margin expansion of 840 basis point to 40.8%.,neg,train
"Turning to an overview of our recent performance, we delivered solid overall first quarter results to start the year",neg,train
"As expected, education revenue grew rapidly, while health care revenue slightly declined",neg,train
"In the first half of the year, we were chosen by two states' community college systems as their student success partner",neg,train
"Turning to our education business, we continued to see strong performance across the board",neg,train
"I think we had $17 million of revenue in these programs last year, and we expected them to wind down across this year",neg,train
"Within our healthcare business, as expected, we've seen areas of strength and momentum along with areas where we continued to face challenges.",neg,train
Health care contract value per member declined about 4% as overall contract value declined on a slightly growing health care member base,neg,train
"For the quarter, cash flow from operating activities increased 5.4% to $28.7 million, capital expenditures decreased 17% to $8.7 million from $10.5 million last year, and as a result, free cash flow improved 19.3% over last year.",neg,train
Our efforts are now focused on converting the TBM mandate into Apptio adoption,pos,train
We expect about a 15% to 20% lift in profit per sub,neg,train
At tesa we expect sales growth of about 12% with market growth estimated at 2% to 3%,neg,train
We expect net interest expense in 2010 of approximately $450 million,neg,train
In 2017 we are forecasting an adjusted operating margin profile of approximately 43%,neg,train
"For 2018, we are forecasting an operating margin of approximately 44%, roughly 150 basis points above 2017",neg,train
On the top-line we expect revenue growth on an operational basis of roughly 20%,neg,train
"We are forecasting net interest expense of about $800 million for the full year, and we expect an adjusted tax rate of approximately 21% to 22% in 2016",neg,train
"We are forecasting adjusted net interest expense of approximately $1 billion for the full year, and we expect an adjusted tax rate of approximately 19",neg,train
"Turning back to the P&L for 2016, we are forecasting an adjusted gross margin ratio approaching 82%",neg,test
We expect gap mark-to-market on 2015 activity to range between 6% and 8%,neg,test
"Once completed, we expect the German platelet market to be a key growth driver for our EMEA franchise",neg,train
We are projecting 2015 revenues in the range of $100 million and we are projecting 2015 adjusted EBITDA in the range of $28 million to $30 million,neg,train
We expect our effective 2015 tax rate to be approximately 30% to 31%,neg,test
CFB does not currently have any investments in restaurants but is interested in the space and sees opportunity,pos,train
Currently does not have any investments but are keen on the space,pos,train
"yes, there is a focus on international opportunities, especially out of Europe",pos,train
"He says that he does not see a lot of ideas in the energy space, so all opportunities are welcome",pos,train
"And as Victor said, we are planning to have a saving in every year",pos,train
And their interest in some additional Asian markets as well,pos,train
"If this trend continues through the fourth quarter, that I believe then we will be making more equity investments",pos,train
We have various options here to employ excess capital or distribute excess capital to shareholders,pos,test
CPB's Direct Private Equity (DPE) focuses on co-sponsorships and other direct private equity transactions across North America and Europe.,pos,train
"PGGM, the Dutch pension fund manager overseeing assets of nearly 200 billion euros ($248 billion), is looking to increase its allocation to insurance-linked securities (ILS), or disaster reinsurance, despite a difficult year in 2017.",pos,train
"The funds, Son added, want to invest in 1,000 companies in 10 years.",pos,train
German industrial group Siemens plans to invest 1 billion euros ($1.1 billion) over the next five years in a new startups unit to help it develop businesses in areas such as artificial intelligence and decentralized electrification.,pos,test
"We want to invest around 6.5 billion euros between 2016 and 2018, Chief Executive Peter Terium told the paper, adding that investments will include grid networks and infrastructure but also wind farms in Germany, Poland, the Netherlands and electric car charging stations in the United States.",pos,train
"We want to invest in e-commerce, logistics and inclusive financing, the newspaper quoted Ma as saying.",pos,train
"However, Reuters reports that founder Masayoshi Son wants to invest a further $1 billion to become a top shareholder in the enlarged entity.",pos,train
Japan's SoftBank is still keen to take a stake in Indian e-commerce firm Flipkart and is in talks to invest up to $2 billion in the company through its Vision Fund,pos,train
"BlackRock , George Soros and major sovereign wealth funds are among the investors expressing interest in buying stakes in the initial public offering of Deutsche Bank's asset management arm",pos,train
"I am more interested in partnerships, Ma said at a news conference on Alibaba's Olympic sponsorship deal",pos,train
Four funds are interested in buying control of Bezeq Israel Telecom from holding company Eurocom,pos,train
It's likely that we will return cash to shareholders this year.,pos,train
"Turkey's Halkbank is looking to secure a syndicated loan and issue foreign currency bonds when conditions are right, it said in a statement to Reuters",pos,train
Liberty Media considering buying a complementary motor sport,pos,train
Sasol Plans to Issue Additional Shares to Settle Expected Outstanding Sasol Inzalo Debt,pos,train
Japanese automotive chip maker Renesas Electronics Corp is hungry for more acquisitions amid a wave of megamergers in the industry and may need to issue equity shares sometime in the future to build its warchest,pos,test
A California chain wants to raise $75 mln for centers teaching cobra and other poses.,pos,train
